week,profile_id,sim_index,metric,value
0,ono_v3_calibrated,1,providers,3000.000000
0,ono_v3_calibrated,1,capacity,542023.754914
0,ono_v3_calibrated,1,utilization,3.320888
0,ono_v3_calibrated,1,solvencyScore,0.005275
0,ono_v3_calibrated,1,profit_avg_provider,124.846055
0,ono_v3_calibrated,1,incentive_ratio,0.500000
0,ono_v3_calibrated,1,retention_absolute,1.000000
0,ono_v3_calibrated,1,retention_rate,1.000000
1,ono_v3_calibrated,1,price,0.036788
1,ono_v3_calibrated,1,supply,419262011.732778
1,ono_v3_calibrated,1,minted,4657309.214024
1,ono_v3_calibrated,1,burned,28041.063702
1,ono_v3_calibrated,1,providers,3000.000000
1,ono_v3_calibrated,1,capacity,542023.754914
1,ono_v3_calibrated,1,utilization,3.320888
1,ono_v3_calibrated,1,solvencyScore,0.006021
1,ono_v3_calibrated,1,profit_avg_provider,26.713358
1,ono_v3_calibrated,1,incentive_ratio,0.500000
1,ono_v3_calibrated,1,retention_absolute,1.000000
1,ono_v3_calibrated,1,retention_rate,1.000000
2,ono_v3_calibrated,1,price,0.013534
2,ono_v3_calibrated,1,supply,423876179.968623
2,ono_v3_calibrated,1,minted,4657394.214024
2,ono_v3_calibrated,1,burned,43225.978179
2,ono_v3_calibrated,1,providers,2974.500000
2,ono_v3_calibrated,1,capacity,538308.217868
2,ono_v3_calibrated,1,utilization,3.343809
2,ono_v3_calibrated,1,solvencyScore,0.009281
2,ono_v3_calibrated,1,profit_avg_provider,-9.074936
2,ono_v3_calibrated,1,incentive_ratio,0.500000
2,ono_v3_calibrated,1,retention_absolute,0.991500
2,ono_v3_calibrated,1,retention_rate,0.991500
3,ono_v3_calibrated,1,price,0.004979
3,ono_v3_calibrated,1,supply,428415353.791647
3,ono_v3_calibrated,1,minted,4656674.214024
3,ono_v3_calibrated,1,burned,117500.391001
3,ono_v3_calibrated,1,providers,3190.500000
3,ono_v3_calibrated,1,capacity,577390.069044
3,ono_v3_calibrated,1,utilization,3.117477
3,ono_v3_calibrated,1,solvencyScore,0.025233
3,ono_v3_calibrated,1,profit_avg_provider,-22.616051
3,ono_v3_calibrated,1,incentive_ratio,0.500000
3,ono_v3_calibrated,1,retention_absolute,1.063500
3,ono_v3_calibrated,1,retention_rate,0.921331
4,ono_v3_calibrated,1,price,0.001832
4,ono_v3_calibrated,1,supply,432752813.827978
4,ono_v3_calibrated,1,minted,4656859.214024
4,ono_v3_calibrated,1,burned,319399.177694
4,ono_v3_calibrated,1,providers,3135.000000
4,ono_v3_calibrated,1,capacity,567598.667390
4,ono_v3_calibrated,1,utilization,3.171255
4,ono_v3_calibrated,1,solvencyScore,0.068587
4,ono_v3_calibrated,1,profit_avg_provider,-26.943036
4,ono_v3_calibrated,1,incentive_ratio,0.500000
4,ono_v3_calibrated,1,retention_absolute,1.045000
4,ono_v3_calibrated,1,retention_rate,0.900329
5,ono_v3_calibrated,1,price,0.000674
5,ono_v3_calibrated,1,supply,436542501.061252
5,ono_v3_calibrated,1,minted,4657904.214024
5,ono_v3_calibrated,1,burned,868216.980750
5,ono_v3_calibrated,1,providers,2821.500000
5,ono_v3_calibrated,1,capacity,509886.879565
5,ono_v3_calibrated,1,utilization,3.530195
5,ono_v3_calibrated,1,solvencyScore,0.186396
5,ono_v3_calibrated,1,profit_avg_provider,-28.636880
5,ono_v3_calibrated,1,incentive_ratio,0.500000
5,ono_v3_calibrated,1,retention_absolute,0.940500
5,ono_v3_calibrated,1,retention_rate,0.900000
6,ono_v3_calibrated,1,price,0.000248
6,ono_v3_calibrated,1,supply,438841286.833344
6,ono_v3_calibrated,1,minted,4658844.214024
6,ono_v3_calibrated,1,burned,2360058.441933
6,ono_v3_calibrated,1,providers,2539.500000
6,ono_v3_calibrated,1,capacity,459342.325515
6,ono_v3_calibrated,1,utilization,3.918646
6,ono_v3_calibrated,1,solvencyScore,0.506576
6,ono_v3_calibrated,1,profit_avg_provider,-29.296479
6,ono_v3_calibrated,1,incentive_ratio,4.174788
6,ono_v3_calibrated,1,retention_absolute,0.846500
6,ono_v3_calibrated,1,retention_rate,0.900053
7,ono_v3_calibrated,1,price,0.000100
7,ono_v3_calibrated,1,supply,437650976.047368
7,ono_v3_calibrated,1,minted,4659689.214024
7,ono_v3_calibrated,1,burned,5850000.000000
7,ono_v3_calibrated,1,providers,2286.000000
7,ono_v3_calibrated,1,capacity,413476.221044
7,ono_v3_calibrated,1,utilization,4.353334
7,ono_v3_calibrated,1,solvencyScore,1.255449
7,ono_v3_calibrated,1,profit_avg_provider,-29.241828
7,ono_v3_calibrated,1,incentive_ratio,0.903698
7,ono_v3_calibrated,1,retention_absolute,0.762000
7,ono_v3_calibrated,1,retention_rate,0.900177
8,ono_v3_calibrated,1,price,0.000272
