profile_id,metric,week,p25,median,p75
ono_v3_calibrated,incentive_ratio,1,0.500000,0.500000,0.500000
ono_v3_calibrated,incentive_ratio,2,0.500000,0.500000,0.500000
ono_v3_calibrated,incentive_ratio,3,0.500000,0.500000,0.500000
ono_v3_calibrated,incentive_ratio,4,0.500000,0.500000,0.500000
ono_v3_calibrated,incentive_ratio,5,0.500000,0.500000,0.500000
ono_v3_calibrated,incentive_ratio,6,4.174788,4.174788,4.174788
ono_v3_calibrated,incentive_ratio,7,0.903698,0.903698,0.903698
ono_v3_calibrated,incentive_ratio,8,-0.293652,-0.290785,-0.290785
ono_v3_calibrated,incentive_ratio,9,-0.757779,-0.754423,-0.754423
ono_v3_calibrated,retention_absolute,0,1.000000,1.000000,1.000000
ono_v3_calibrated,retention_absolute,1,1.000000,1.000000,1.000000
ono_v3_calibrated,retention_absolute,2,0.987500,0.991500,0.991500
ono_v3_calibrated,retention_absolute,3,1.049000,1.063500,1.063500
ono_v3_calibrated,retention_absolute,4,1.029500,1.045000,1.045000
ono_v3_calibrated,retention_absolute,5,0.927000,0.940500,0.940500
ono_v3_calibrated,retention_absolute,6,0.834500,0.846500,0.846500
ono_v3_calibrated,retention_absolute,7,0.751500,0.762000,0.762000
ono_v3_calibrated,retention_absolute,8,0.676500,0.686000,0.686000
ono_v3_calibrated,retention_absolute,9,0.609000,0.617500,0.617500
ono_v3_calibrated,retention_rate,0,1.000000,1.000000,1.000000
ono_v3_calibrated,retention_rate,1,1.000000,1.000000,1.000000
ono_v3_calibrated,retention_rate,2,0.987500,0.991500,0.991500
ono_v3_calibrated,retention_rate,3,0.910380,0.921331,0.921331
ono_v3_calibrated,retention_rate,4,0.900329,0.900381,0.900381
ono_v3_calibrated,retention_rate,5,0.900000,0.900437,0.900437
ono_v3_calibrated,retention_rate,6,0.900053,0.900216,0.900216
ono_v3_calibrated,retention_rate,7,0.900177,0.900539,0.900539
ono_v3_calibrated,retention_rate,8,0.900200,0.900262,0.900262
